#Time: 20250306 103419
#Direction: Positive
#Lamp current: 1.441407
#Interferometer temperature: 17.660000
#Interferometer humidity: 38.925056
#Laser wavelength(nm): 790.087493
#VCM speed: 5000
#Resolution: 8
#Gain: 1
#Acquisition Times: 16
#Spectra: Power spectra
#XUnit: cm-1
4000.000000,0.006448
4003.078696,0.006817
4006.157393,0.007202
4009.236089,0.007623
4012.314786,0.008086
4015.393482,0.008581
4018.472178,0.009110
4021.550875,0.009696
4024.629571,0.010338
4027.708268,0.011039
4030.786964,0.011788
4033.865660,0.012561
4036.944357,0.013393
4040.023053,0.014274
4043.101750,0.015243
4046.180446,0.016323
4049.259142,0.017510
4052.337839,0.018778
4055.416535,0.020109
4058.495232,0.021516
4061.573928,0.023023
4064.652625,0.024637
4067.731321,0.026343
4070.810017,0.028132
4073.888714,0.030024
4076.967410,0.032038
4080.046107,0.034177
4083.124803,0.036422
4086.203499,0.038759
4089.282196,0.041192
4092.360892,0.043713
4095.439589,0.046297
4098.518285,0.048911
4101.596981,0.051554
4104.675678,0.054250
4107.754374,0.057017
4110.833071,0.059839
4113.911767,0.062677
4116.990463,0.065509
4120.069160,0.068339
4123.147856,0.071172
4126.226553,0.073994
4129.305249,0.076771
4132.383945,0.079485
4135.462642,0.082143
4138.541338,0.084763
4141.620035,0.087350
4144.698731,0.089897
4147.777427,0.092396
4150.856124,0.094846
4153.934820,0.097253
4157.013517,0.099618
4160.092213,0.101943
4163.170910,0.104228
4166.249606,0.106473
4169.328302,0.108682
4172.406999,0.110858
4175.485695,0.112999
4178.564392,0.115104
4181.643088,0.117185
4184.721784,0.119256
4187.800481,0.121317
4190.879177,0.123369
4193.957874,0.125417
4197.036570,0.127471
4200.115266,0.129525
4203.193963,0.131564
4206.272659,0.133586
4209.351356,0.135605
4212.430052,0.137623
4215.508748,0.139618
4218.587445,0.141566
4221.666141,0.143464
4224.744838,0.145321
4227.823534,0.147145
4230.902230,0.148942
4233.980927,0.150726
4237.059623,0.152530
4240.138320,0.154379
4243.217016,0.156271
4246.295712,0.158179
4249.374409,0.160083
4252.453105,0.161977
4255.531802,0.163851
4258.610498,0.165683
4261.689195,0.167446
4264.767891,0.169137
4267.846587,0.170786
4270.925284,0.172438
4274.003980,0.174130
4277.082677,0.175874
4280.161373,0.177665
4283.240069,0.179473
4286.318766,0.181246
4289.397462,0.182940
4292.476159,0.184556
4295.554855,0.186132
4298.633551,0.187708
4301.712248,0.189310
